T,Duration
0,241
1,263
2,150
3,127
4,92
5,96
6,72
7,80
8,72
9,80
10,66
11,82
12,59
13,60
14,72
15,56
16,55
17,54
18,52
19,52
20,52
21,51
22,51
23,50
24,53
25,66
26,50
27,56
28,53
29,64
30,60
31,47
32,49
33,49
34,51
35,51
36,49
37,50
38,52
39,51
40,51
41,46
42,63
43,48
44,65
45,46
46,50
47,52
48,45
49,49
50,51
51,46
52,46
53,47
54,44
55,64
56,60
