T,Duration
1,6751
2,3188
3,2452
4,1727
5,1485
6,1151
7,1072
8,903
9,774
10,688
11,651
12,617
13,562
14,518
15,555
16,517
17,491
18,487
19,440
20,417
21,398
22,380
23,398
24,363
25,334
26,356
27,311
28,336
29,290
30,316
31,302
32,295
33,283
34,301
35,363
36,238
37,363
38,347
39,217
40,239
41,219
42,222
43,264
44,270
45,326
46,311
47,278
48,268
49,237
50,319
51,347
52,292
53,183
54,329
55,219
56,292
